ECG,EDA
537,1
534,1
533,1
529,1
524,1
520,1
515,1
511,1
506,1
500,2
495,1
492,1
494,2
497,2
503,2
511,1
519,1
527,2
532,2
534,2
534,1
534,2
530,1
529,2
526,2
521,1
516,1
512,1
505,1
499,2
494,1
491,1
491,2
495,2
500,1
509,2
517,1
526,2
531,2
533,2
532,1
533,1
531,1
529,1
524,2
519,1
514,1
509,1
502,1
495,2
492,1
489,1
489,1
494,2
499,2
508,1
516,1
524,2
530,2
533,1
533,1
531,2
529,1
526,1
521,1
517,1
513,1
508,1
504,2
496,1
490,1
488,1
491,1
496,2
501,2
509,1
519,1
526,1
531,2
532,2
531,1
530,1
529,1
526,1
523,2
519,1
515,1
511,1
505,1
497,2
493,1
489,2
490,2
496,2
501,2
509,1
519,1
528,1
534,2
536,2
535,2
534,1
531,1
529,2
525,2
520,2
515,1
511,2
505,2
497,1
492,1
489,2
492,1
496,2
501,1
510,2
518,1
526,2
532,1
533,1
534,1
534,1
532,1
528,1
525,1
519,1
515,2
511,1
505,1
496,2
492,1
490,1
492,2
497,2
504,2
514,1
522,1
529,2
533,2
532,2
532,1
532,1
531,1
527,1
523,1
519,1
515,1
511,1
504,2
499,1
495,1
491,1
492,1
497,2
503,2
512,1
520,1
526,2
532,1
533,2
536,1
536,1
532,1
530,2
527,1
521,1
517,1
511,1
506,2
499,2
495,1
492,2
492,1
495,2
502,2
510,1
519,1
527,1
533,2
532,2
531,1
528,1
526,1
524,2
520,2
515,1
511,1
508,1
502,1
495,2
491,1
489,1
491,2
496,2
501,2
509,1
518,1
525,2
528,2
529,2
529,1
530,1
527,1
524,1
520,1
517,2
512,1
507,1
502,1
495,2
491,1
489,2
492,2
497,2
502,2
512,2
522,2
528,2
533,2
533,1
534,1
533,1
529,1
527,1
522,1
518,1
513,1
511,1
505,1
499,2
494,1
491,1
493,1
498,2
504,2
512,1
521,1
527,1
533,2
532,2
534,1
531,1
528,1
524,1
519,2
515,1
512,1
508,1
502,1
495,1
493,1
490,1
493,1
497,2
504,2
512,1
520,1
527,1
532,2
532,2
533,1
534,1
529,1
525,1
522,2
518,1
512,1
507,1
500,2
495,2
492,1
488,1
491,1
496,2
503,2
512,2
520,1
528,2
533,2
534,1
534,1
533,1
530,1
529,2
523,1
518,1
513,1
511,1
504,2
496,2
492,1
489,1
491,1
494,1
501,2
511,1
521,1
530,1
536,1
535,2
534,1
532,1
529,1
526,2
523,2
519,1
515,1
509,1
503,1
496,2
493,1
491,1
492,1
496,2
502,2
510,1
519,1
524,1
530,2
533,2
533,1
532,1
529,1
526,1
524,1
519,1
514,1
511,1
504,1
496,2
493,1
491,2
495,2
499,2
505,2
513,2
523,1
530,2
534,1
534,1
534,2
530,1
528,1
526,1
523,1
519,1
512,1
510,1
503,2
496,1
492,1
491,1
493,1
497,2
502,2
511,2
520,1
527,2
531,2
532,1
533,1
533,1
531,1
527,1
523,1
518,1
515,1
511,1
504,2
499,2
495,1
493,1
494,2
499,2
502,2
510,1
519,1
527,1
533,2
532,2
533,1
532,1
529,1
525,2
523,1
519,1
514,1
512,1
507,2
500,1
494,1
492,2
495,1
500,2
506,1
514,1
521,1
527,1
534,1
534,1
534,1
533,1
531,1
527,2
523,1
519,1
515,1
510,1
504,1
496,2
495,1
494,1
495,1
499,2
505,2
513,1
519,2
527,2
532,2
532,2
533,1
531,1
527,1
527,1
523,1
519,1
516,1
511,1
506,1
499,1
495,1
493,1
495,1
500,2
505,1
513,1
519,1
525,1
528,2
527,1
526,1
526,1
523,1
521,1
516,2
513,1
510,1
507,1
502,1
496,2
493,1
490,1
493,1
496,2
501,1
511,1
520,1
527,1
531,1
532,1
532,1
531,1
530,1
526,1
524,1
518,1
515,1
510,1
502,1
496,1
493,1
492,1
494,1
497,2
504,1
512,1
520,1
529,1
532,1
533,1
532,1
531,1
529,1
527,1
523,1
519,1
515,1
510,1
504,1
496,2
493,1
492,1
494,1
496,1
499,1
509,1
519,1
527,1
531,1
531,1
530,1
529,1
527,1
526,1
522,1
518,1
514,1
511,1
505,2
499,2
494,1
491,1
494,1
497,2
504,2
513,1
520,1
528,1
534,1
535,1
533,1
531,1
528,1
525,1
522,1
519,1
516,1
511,1
505,1
497,2
