ECG,EDA
484,62
486,61
485,62
486,61
486,62
487,61
488,62
489,61
491,62
490,62
487,62
489,60
487,62
487,60
484,62
483,61
481,62
480,60
479,62
478,60
479,63
479,60
480,62
479,60
480,62
481,61
483,61
485,61
486,62
487,62
487,62
486,62
485,61
483,62
481,60
481,62
479,60
479,62
479,60
479,62
478,60
482,61
483,61
484,62
484,62
483,61
487,62
488,61
490,62
491,61
492,62
491,61
490,62
489,60
487,62
486,61
484,61
483,62
483,61
483,62
484,61
485,62
486,61
487,62
488,60
491,62
493,60
495,62
496,61
497,61
498,62
497,61
497,62
495,61
495,62
493,61
492,61
491,61
492,62
492,60
492,62
492,60
493,62
494,61
495,62
497,62
499,61
500,62
502,61
502,62
503,61
502,62
501,61
499,62
497,61
495,62
495,60
494,62
492,60
492,62
493,61
494,62
494,62
495,62
495,62
496,61
498,62
499,61
500,62
501,60
502,63
501,60
499,62
497,60
496,62
495,61
493,62
493,61
494,62
492,61
494,62
495,62
495,61
496,62
494,61
497,62
499,61
500,62
502,61
502,62
503,61
503,62
502,60
502,62
499,61
498,62
497,62
496,61
496,62
496,60
497,62
497,60
497,62
497,61
498,61
500,63
501,61
503,62
504,60
505,62
506,61
505,62
504,61
502,62
499,60
497,62
496,62
495,62
494,62
494,61
495,63
496,60
497,62
499,60
499,62
502,61
503,62
505,61
507,61
507,62
508,61
507,62
506,61
505,62
503,60
502,62
500,61
499,62
498,62
498,61
499,63
499,60
501,62
502,61
504,62
505,61
505,61
508,62
509,61
510,62
510,61
509,62
508,60
504,62
503,60
503,62
501,62
499,61
498,62
499,61
500,62
500,61
501,62
504,61
504,62
506,61
508,62
511,62
513,61
514,62
515,61
515,62
514,61
512,62
511,60
510,62
507,60
506,62
505,62
506,61
506,63
507,60
507,62
507,61
508,62
510,61
511,62
513,61
514,62
515,62
515,62
515,62
513,61
511,62
509,60
508,63
505,60
505,62
504,61
504,62
504,62
504,62
504,62
505,61
504,63
507,61
508,62
509,61
509,62
511,61
511,62
511,61
509,62
506,62
503,61
501,62
499,60
498,62
497,60
495,62
494,62
493,61
493,62
492,61
493,62
495,62
496,62
497,61
496,62
496,60
496,63
495,61
493,62
490,62
488,61
487,63
485,61
483,62
482,61
481,62
482,61
480,62
481,61
482,62
483,61
483,62
486,61
487,62
489,63
490,61
492,62
491,61
490,62
489,61
487,63
485,61
483,62
482,61
482,62
480,62
481,62
481,62
482,62
481,62
482,61
484,63
486,61
488,62
489,61
490,62
491,61
491,62
490,62
487,62
485,61
483,62
482,62
481,62
479,63
478,61
478,62
478,61
478,62
479,61
477,63
479,61
479,62
480,61
482,62
480,62
482,62
481,63
479,61
476,62
472,61
471,63
468,60
466,62
464,61
464,62
464,61
465,62
467,61
470,62
472,61
476,63
479,61
482,62
484,63
486,61
488,63
488,61
489,63
489,61
488,62
489,61
488,62
488,61
488,62
489,61
492,63
493,62
494,62
496,63
497,61
499,63
501,61
503,63
504,61
506,63
507,61
507,62
507,61
505,62
504,63
503,62
502,62
502,62
501,63
501,61
502,63
502,60
504,62
504,61
504,62
506,61
506,62
508,61
507,62
507,61
506,63
504,62
501,62
496,62
492,61
488,63
483,60
478,63
472,61
469,62
468,61
464,62
462,63
460,62
458,63
461,61
464,63
468,61
474,63
483,61
499,63
513,61
527,62
543,61
559,62
577,63
595,61
614,63
633,61
652,62
670,62
686,62
701,62
716,61
732,62
748,63
764,61
781,63
796,61
809,62
818,60
819,62
817,60
807,62
795,60
779,63
755,60
733,62
710,60
688,62
669,60
649,62
631,61
615,62
599,61
583,63
569,61
557,62
547,61
536,62
524,62
511,62
500,61
487,63
476,61
466,63
456,61
447,63
440,61
435,63
431,62
428,62
425,62
423,62
422,62
421,62
419,62
419,62
418,63
416,61
415,63
412,61
410,63
408,62
406,62
403,62
402,62
400,62
399,63
399,61
400,63
400,62
400,63
401,62
402,63
403,62
404,62
405,62
405,63
404,62
404,63
403,61
401,63
398,62
395,63
392,62
388,62
387,62
384,63
381,61
378,63
374,61
369,63
359,61
348,62
338,62
326,63
313,62
301,63
289,62
278,63
266,62
254,63
242,62
231,62
221,63
211,63
202,62
194,63
187,62
180,63
174,62
167,63
163,63
158,63
153,63
150,63
147,63
144,63
140,63
136,63
134,63
130,63
125,63
120,63
115,63
113,63
111,63
108,63
107,63
106,63
105,63
104,63
103,63
103,63
104,63
104,63
104,63
105,63
105,63
105,63
103,63
102,63
99,63
98,63
96,63
95,63
94,63
94,63
94,63
94,63
95,63
96,63
